ptcut,etcut,mode,order,mlow,mhigh,sigma_fb,unc_stat_fb,unc_lumi_fb,N_selected,N_background,eff,delta_df,delta_ss,data_n_total,data_n_after_mass,data_n_after_iso,data_n_after_mass_and_iso
3,14,df+ss,iso -> df -> ss,66,116,2244950.9680799944,458.3689584365287,38164.166457359905,24198666.892319232,70694.18895182695,0.29365194885827517,15700.548866056663,1201.1076807692132,26363258,24783058,25697690,24199868
3,15,none,iso -> df -> ss,66,116,2247544.9058071515,458.7676908401679,38208.263398721574,24212401.0,70708.93798545327,0.2934798192589417,,,26363258,24783058,25711764,24212401
3,15,df,iso -> df -> ss,66,116,2246062.5553341517,458.46511423680096,38183.063440680584,24212401.0,70708.93798545327,0.29367350930014785,15746.919000242153,,26363258,24783058,25711764,24212401
3,15,ss,iso -> df -> ss,66,116,2247431.9493458667,458.756229527653,38206.34313887974,24211187.693828586,70708.93798545327,0.2934798192589417,,1213.3061714153368,26363258,24783058,25711764,24212401
3,15,df+ss,iso -> df -> ss,66,116,2245949.6733724084,458.45366048350405,38181.144447330946,24211187.693828586,70708.93798545327,0.29367350930014785,15746.919000242153,1213.3061714153368,26363258,24783058,25711764,24212401
4,2,none,iso -> df -> ss,66,116,2232449.0055552125,509.88778528354277,37951.63309443861,19335940.0,55647.413040039304,0.2359668458954901,,,26363258,24783058,20538200,19335940
4,2,df,iso -> df -> ss,66,116,2230994.496567966,509.5555777552469,37926.906441655425,19335940.0,55647.413040039304,0.23612068576312545,12507.116626010189,,26363258,24783058,20538200,19335940
4,2,ss,iso -> df -> ss,66,116,2232358.850973714,509.8775486894105,37950.10046655314,19335161.390184045,55647.413040039304,0.2359668458954901,,778.6098159546902,26363258,24783058,20538200,19335940
4,2,df+ss,iso -> df -> ss,66,116,2230904.400724942,509.54534783056954,37925.374812324015,19335161.390184045,55647.413040039304,0.23612068576312545,12507.116626010189,778.6098159546902,26363258,24783058,20538200,19335940
4,3,none,iso -> df -> ss,66,116,2241944.0542249163,480.79478264280186,38113.04892182358,21933130.0,63444.02898417365,0.26652422590725433,,,26363258,24783058,23290392,21933130
4,3,df,iso -> df -> ss,66,116,2240464.344948064,480.477452467324,38087.89386411709,21933130.0,63444.02898417365,0.26670025118990176,14310.781548616724,,26363258,24783058,23290392,21933130
4,3,ss,iso -> df -> ss,66,116,2241849.143707596,480.78466425331897,38111.435443029135,21932204.168150973,63444.02898417365,0.26652422590725433,,925.831849028866,26363258,24783058,23290392,21933130
4,3,df+ss,iso -> df -> ss,66,116,2240369.4970727945,480.46734075609635,38086.28145023751,21932204.168150973,63444.02898417365,0.26670025118990176,14310.781548616724,925.831849028866,26363258,24783058,23290392,21933130
4,4,none,iso -> df -> ss,66,116,2244225.6731620375,468.52283964546024,38151.83644375464,23145458.0,67371.38106391327,0.28096497703664886,,,26363258,24783058,24575573,23145458
4,4,df,iso -> df -> ss,66,116,2242752.344160033,468.2152554768955,38126.78985072056,23145458.0,67371.38106391327,0.28114955107144746,15005.791508034774,,26363258,24783058,24575573,23145458
4,4,ss,iso -> df -> ss,66,116,2244126.8855291135,468.5125875345558,38150.15705399493,23144442.135340415,67371.38106391327,0.28096497703664886,,1015.864659583475,26363258,24783058,24575573,23145458
4,4,df+ss,iso -> df -> ss,66,116,2242653.6213809634,468.20501009647836,38125.11156347638,23144442.135340415,67371.38106391327,0.28114955107144746,15005.791508034774,1015.864659583475,26363258,24783058,24575573,23145458
4,5,none,iso -> df -> ss,66,116,2244344.2308118716,462.88797576937316,38153.85192380182,23715710.0,69299.17278402929,0.2878688525975807,,,26363258,24783058,25181059,23715710
4,5,df,iso -> df -> ss,66,116,2242867.352075115,462.5833748086431,38128.74498527696,23715710.0,69299.17278402929,0.28805840789472414,15410.766044533171,,26363258,24783058,25181059,23715710
4,5,ss,iso -> df -> ss,66,116,2244239.40721321,462.8772288881376,38152.06992262458,23714605.57856397,69299.17278402929,0.2878688525975807,,1104.4214360291194,26363258,24783058,25181059,23715710
4,5,df+ss,iso -> df -> ss,66,116,2242762.5974550624,462.5726349993354,38126.96415673607,23714605.57856397,69299.17278402929,0.28805840789472414,15410.766044533171,1104.4214360291194,26363258,24783058,25181059,23715710
4,6,none,iso -> df -> ss,66,116,2244238.537200924,460.1085827595523,38152.05513241571,24001440.0,70335.49795487254,0.29134840322233946,,,26363258,24783058,25484512,24001440
